recipe_id,positive_interaction_count
2886,1347
27208,1338
39087,1326
89204,1306
67256,1143
54257,1093
32204,1093
22782,1080
69173,945
68955,795
82102,787
33919,771
28148,765
25885,746
63689,671
135350,669
10744,665
99476,649
150863,649
26110,648
33671,645
129926,624
97496,597
5170,581
107786,580
32614,577
38298,565
77397,563
29679,561
131018,539
4627,538
87782,526
95222,523
43509,513
66121,492
28768,478
89207,471
37336,460
2496,459
50719,458
76864,455
9272,455
141983,433
73166,429
150384,427
60350,426
53914,425
78814,425
73825,424
8701,418
