numeric_column,count,mean,std,min,25%,50%,75%,max
Year,43.0,2018.0,0.0,2018.0,2018.0,2018.0,2018.0,2018.0
Land use change,43.0,1.7317469364418603,5.263926731952254,-3.257812,0.0015561365,0.17997183,1.0764734,25.814833
Farm,43.0,4.523337444186047,9.933744427993808,0.09276804,0.33965576,0.9278218,2.92575225,56.22806
Animal feed,43.0,0.6252301853488372,1.2723075051852435,0.0,0.0,0.0,0.0,4.298476
Processing,43.0,0.29545776979069766,0.45332520848860425,0.0,0.001910069,0.07831917,0.37233070999999995,1.811083
Transport,43.0,0.21939001976744182,0.18495077077567026,0.035351165,0.094924483,0.13452813,0.262454465,0.7945103
Retail,43.0,0.09895206013953489,0.10891246661555479,0.015135273,0.038194945,0.039322365,0.16175673000000002,0.3523611
Packaging,43.0,0.29512324109302324,0.3379387944522549,0.041747507,0.07476209,0.13753739,0.40341771000000004,1.6874963
Losses,43.0,1.6833743282558142,3.5027135754757976,-0.007999532,0.1277109925,0.29047042,0.6601068999999999,14.439998
